Order_ID,Product_ID,Order_Qty,Exp_Completion_Date,Actual_Completion_Date,Taxable_Amt,SGST_Amt,CGST_Amt,IGST_Amt,Total_Amt
23000298 Ð 00753 - O1,CEL4800721,25000,9/22/23,45116,404525,,,72815,477340
23000298 Ð 00753 - O1,CEL4800722,25000,9/22/23,45116,404525,,,72815,477340
23000298 Ð 00753 - O1,CEL4800723,25000,9/22/23,45116,404525,,,72815,477340
23000298 Ð 00753 - O1,CEL4800724,13000,9/22/23,45116,262353,,,47224,309577
23000298 Ð 00753 - O1,CEL4800725,13000,9/22/23,45116,262353,,,47224,309577
23000298 Ð 00753 - O1,CEL4800726,13000,9/22/23,45116,262353,,,47224,309577
23000299 Ð 00753 - O1,CEL4800731,15000,9/22/23,45116,337185,,,60693,397878
23000299 Ð 00753 - O1,CEL4800732,23000,9/22/23,45116,517017,,,93063,610080
23000299 Ð 00753 - O1,CEL4800733,15000,9/22/23,45116,337185,,,60693,397878
22004873 Ð 00753 - O1,CEL4800725,357,3/31/23,44989,7204,,,1296,8501
22004873 Ð 00753 - O1,CEL4800724,468,3/31/23,44989,9444,,,1700,11144
22004873 Ð 00753 - O1,CEL4800726,262,3/31/23,44989,5287,,,951,6239
22005283 Ð 00753 - O1,CEL4800721,23000,45114,45114,372163,,,66989,439152
22005283 Ð 00753 - O1,CEL4800722,23000,45114,45114,372163,,,66989,439152
22005283 Ð 00753 - O1,CEL4800723,23000,45114,45114,372163,,,66989,439152
22005283 Ð 00753 - O1,CEL4800731,13000,45114,45114,292227,,,52601,344828
22005283 Ð 00753 - O1,CEL4800732,13000,45114,45114,292227,,,52601,344828
22005283 Ð 00753 - O1,CEL4800733,13000,45114,45114,292227,,,52601,344828
22005284 Ð 00753 - O1,CEL4800724,21000,45114,45114,423801,,,76284,500085
22005284 Ð 00753 - O1,CEL4800725,21000,45114,45114,423801,,,76284,500085
22005284 Ð 00753 - O1,CEL4800726,21000,45114,45114,423801,,,76284,500085
PO_ID_001,SUP_PRD_ID_0001,25,4/25/22,4/27/22,23050,,,4149,27199
PO_ID_001,SUP_PRD_ID_0002,25,4/25/22,4/27/22,6900,621,621,,8142
PO_ID_001,SUP_PRD_ID_0003,75,4/25/22,4/27/22,20475,1843,1843,,24161
PO_ID_001,SUP_PRD_ID_0004,75,4/25/22,4/27/22,41250,3713,3713,,48675
PO_ID_001,SUP_PRD_ID_0005,43,4/25/22,4/27/22,27950,2516,2516,,32981
PO_ID_002,SUP_PRD_ID_0006,100,4/25/22,4/25/22,7500,675,675,,8850
PO_ID_003,SUP_PRD_ID_0007,150,4/14/22,4/14/22,130650,,,23517,154167
PO_ID_004,SUP_PRD_ID_0008,15000,4/25/22,4/25/22,7500,,,1350,8850
PO_ID_005,SUP_PRD_ID_0009,1600,4/17/22,4/15/22,19840,1786,1786,,23411
PO_ID_006,SUP_PRD_ID_0010,200000,4/14/22,4/15/22,12400,1116,1116,,14632
PO_ID_007,SUP_PRD_ID_0011,10000,44809,44778,220000,19800,19800,,259600
PO_ID_008,SUP_PRD_ID_0012,800,4/17/22,4/17/22,8800,792,792,,10384
PO_ID_008,SUP_PRD_ID_0013,800,4/17/22,4/17/22,8800,792,792,,10384
PO_ID_009,SUP_PRD_ID_0014,1600,4/17/22,4/17/22,7360,662,662,,8685
PO_ID_010,SUP_PRD_ID_0015,3000,4/16/22,4/16/22,7800,,,1404,9204
PO_ID_011,SUP_PRD_ID_0016,35,4/16/22,4/21/22,10500,,,1890,12390
PO_ID_011,SUP_PRD_ID_0017,42,4/16/22,4/21/22,8190,737,737,,9664
PO_ID_011,SUP_PRD_ID_0018,42,4/16/22,4/21/22,12390,1115,1115,,14620
PO_ID_011,SUP_PRD_ID_0019,35,4/16/22,4/21/22,4900,441,441,,5782
